Index,Time (ms),Temperature (C),pwm_controller (percent)
00721,000360500,113.25,030.00
00722,000361000,113.25,030.00
00723,000361500,113.25,030.00
00724,000362000,113.25,030.00
00725,000362500,113.25,030.00
00726,000363000,113.50,030.00
00727,000363500,113.50,030.00
00728,000364000,114.00,030.00
00729,000364500,114.00,030.00
00730,000365000,114.00,030.00
00731,000365500,114.75,030.00
00732,000366000,114.75,030.00
00733,000366500,114.50,030.00
00734,000367000,114.50,030.00
00735,000367500,115.25,030.00
00736,000368000,115.25,030.00
00737,000368500,115.25,030.00
00738,000369000,115.25,030.00
00739,000369500,115.25,030.00
00740,000370000,115.75,030.00
00741,000370500,115.75,030.00
00742,000371000,115.75,030.00
00743,000371500,116.25,030.00
00744,000372000,116.25,030.00
00745,000372500,116.50,030.00
00746,000373000,116.50,030.00
00747,000373500,116.50,030.00
00748,000374000,117.00,030.00
00749,000374500,117.00,030.00
00750,000375000,117.25,030.00
00751,000375500,117.25,030.00
00752,000376000,117.50,030.00
00753,000376500,117.50,030.00
00754,000377000,117.50,030.00
00755,000377500,117.25,030.00
00756,000378000,117.25,030.00
00757,000378500,118.25,030.00
00758,000379000,118.25,030.00
00759,000379500,118.25,030.00
00760,000380000,118.50,030.00
00761,000380500,118.50,030.00
00762,000381000,118.75,030.00
00763,000381500,118.75,030.00
00764,000382000,118.75,030.00
00765,000382500,119.00,030.00
00766,000383000,119.00,030.00
00767,000383500,119.50,030.00
00768,000384000,119.50,030.00
00769,000384500,119.75,030.00
00770,000385000,119.75,030.00
00771,000385500,119.75,030.00
00772,000386000,120.00,030.00
00773,000386500,120.00,030.00
00774,000387000,120.50,030.00
00775,000387500,120.50,030.00
00776,000388000,120.50,030.00
00777,000388500,120.75,030.00
00778,000389000,120.75,030.00
00779,000389500,121.00,030.00
00780,000390000,121.00,030.00
00781,000390500,121.25,030.00
00782,000391000,121.25,030.00
00783,000391500,121.25,030.00
00784,000392000,121.75,030.00
00785,000392500,121.75,030.00
00786,000393000,121.75,030.00
00787,000393500,121.75,030.00
00788,000394000,121.75,030.00
00789,000394500,122.25,030.00
00790,000395000,122.25,030.00
00791,000395500,122.50,030.00
00792,000396000,122.50,030.00
00793,000396500,122.50,030.00
00794,000397000,123.00,030.00
00795,000397500,123.00,030.00
00796,000398000,123.25,030.00
00797,000398500,123.25,030.00
00798,000399000,123.50,030.00
00799,000399500,123.50,030.00
00800,000400000,123.50,030.00
00801,000400500,123.50,030.00
00802,000401000,123.50,030.00
00803,000401500,123.75,030.00
00804,000402000,123.75,030.00
00805,000402500,123.75,030.00
00806,000403000,124.50,030.00
00807,000403500,124.50,030.00
00808,000404000,124.75,030.00
00809,000404500,124.75,030.00
00810,000405000,125.00,030.00
00811,000405500,125.00,030.00
00812,000406000,125.00,030.00
00813,000406500,125.50,030.00
00814,000407000,125.50,030.00
00815,000407500,125.50,030.00
00816,000408000,125.50,030.00
00817,000408500,125.50,030.00
00818,000409000,125.50,030.00
00819,000409500,125.50,030.00
00820,000410000,126.25,030.00
00821,000410500,126.25,030.00
00822,000411000,126.25,030.00
00823,000411500,126.50,030.00
00824,000412000,126.50,030.00
00825,000412500,126.75,030.00
00826,000413000,126.75,030.00
00827,000413500,126.50,030.00
00828,000414000,126.50,030.00
00829,000414500,126.50,030.00
00830,000415000,127.25,030.00
00831,000415500,127.25,030.00
00832,000416000,127.75,030.00
00833,000416500,127.75,030.00
00834,000417000,127.75,030.00
00835,000417500,127.75,030.00
00836,000418000,127.75,030.00
00837,000418500,127.75,030.00
00838,000419000,127.75,030.00
00839,000419500,128.25,030.00
00840,000420000,128.25,030.00
00841,000420500,128.25,030.00
00842,000421000,128.50,030.00
00843,000421500,128.50,030.00
00844,000422000,129.00,030.00
00845,000422500,129.00,030.00
00846,000423000,129.00,030.00
00847,000423500,128.75,030.00
00848,000424000,128.75,030.00
00849,000424500,129.50,030.00
00850,000425000,129.50,030.00
00851,000425500,129.50,030.00
00852,000426000,129.50,030.00
00853,000426500,129.50,030.00
00854,000427000,130.00,030.00
00855,000427500,130.00,030.00
00856,000428000,129.75,030.00
00857,000428500,129.75,030.00
00858,000429000,129.75,030.00
00859,000429500,130.25,030.00
00860,000430000,130.25,030.00
00861,000430500,130.75,030.00
00862,000431000,130.75,030.00
00863,000431500,130.75,030.00
00864,000432000,131.00,030.00
00865,000432500,131.00,030.00
00866,000433000,131.25,030.00
00867,000433500,131.25,030.00
00868,000434000,131.25,030.00
00869,000434500,131.50,030.00
00870,000435000,131.50,030.00
00871,000435500,131.75,030.00
00872,000436000,131.75,030.00
00873,000436500,132.00,030.00
00874,000437000,132.00,030.00
00875,000437500,132.00,030.00
00876,000438000,132.25,030.00
00877,000438500,132.25,030.00
00878,000439000,132.25,030.00
00879,000439500,132.25,030.00
00880,000440000,132.25,030.00
00881,000440500,132.50,030.00
00882,000441000,132.50,030.00
00883,000441500,133.00,030.00
00884,000442000,133.00,030.00
00885,000442500,133.50,030.00
00886,000443000,133.50,030.00
00887,000443500,133.50,030.00
00888,000444000,133.50,030.00
00889,000444500,133.50,030.00
00890,000445000,133.50,030.00
00891,000445500,133.50,030.00
00892,000446000,133.50,030.00
00893,000446500,133.25,030.00
00894,000447000,133.25,030.00
00895,000447500,134.50,030.00
00896,000448000,134.50,030.00
00897,000448500,134.50,030.00
00898,000449000,134.50,030.00
00899,000449500,134.50,030.00
00900,000450000,135.00,030.00
00901,000450500,135.00,030.00
00902,000451000,135.25,030.00
00903,000451500,135.25,030.00
00904,000452000,135.25,030.00
00905,000452500,135.25,030.00
00906,000453000,135.25,030.00
00907,000453500,135.50,030.00
00908,000454000,135.50,030.00
00909,000454500,135.50,030.00
00910,000455000,135.75,030.00
00911,000455500,135.75,030.00
00912,000456000,136.25,030.00
00913,000456500,136.25,030.00
00914,000457000,135.75,030.00
00915,000457500,135.75,030.00
00916,000458000,135.75,030.00
00917,000458500,136.50,030.00
00918,000459000,136.50,030.00
00919,000459500,136.25,030.00
00920,000460000,136.25,030.00
00921,000460500,136.25,030.00
